[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[4, 2, 0, 1]
[c, 9, 0, 1]
[1c, 14, 0, 1]
[38, 29, 0, 1]
[4d, 39, 0, 1]
[51, 40, 1, 1]
[51, 3b, 1, 1]
[4a, 3a, 0, 1]
[48, 31, 3, 1]
[44, 2b, 1, 1]
[44, 30, 0, 1]
[46, 2e, 0, 1]
[43, 2b, 2, 1]
[48, 32, 2, 1]
[4d, 34, 5, 1]
[58, 38, 2, 1]
[5d, 3f, 4, 1]
[62, 47, 6, 1]
[66, 49, d, 1]
[5f, 4d, 19, 1]
[5e, 4b, 15, 1]
[5f, 50, 18, 1]
[56, 44, 17, 1]
[59, 44, f, 1]
[57, 41, 7, 1]
[4d, 37, 9, 1]
[4d, 34, e, 1]
[4b, 33, a, 1]
[44, 32, b, 1]
[4b, 30, 9, 1]
[48, 33, 6, 1]
[44, 2f, b, 1]
[4d, 32, b, 1]
[52, 38, 7, 1]
[56, 3a, 9, 1]
[51, 33, 6, 1]
[52, 32, 6, 1]
[4a, 2f, 5, 1]
[48, 24, 4, 1]
[43, 23, 6, 1]
[43, 28, 3, 1]
[46, 22, 2, 1]
[40, 23, 3, 1]
[37, 22, 3, 1]
[34, 1f, 2, 1]
[37, 1d, 2, 1]
[3e, 23, 0, 1]
[46, 27, 1, 1]
[46, 28, 2, 1]
[4c, 2c, 0, 1]
[54, 30, 3, 1]
[5c, 30, 3, 1]
[63, 37, 5, 1]
[69, 40, 4, 1]
[70, 43, 9, 1]
[75, 4f, d, 1]
[79, 56, 9, 1]
[77, 57, 12, 1]
[7c, 55, 14, 1]
[7a, 54, 19, 1]
[7b, 52, d, 1]
[75, 4c, 10, 1]
[73, 4a, a, 1]
[70, 48, 4, 1]
[64, 41, 6, 1]
[53, 39, 5, 1]
[46, 2f, 4, 1]
[3c, 2b, 5, 1]
[39, 26, 5, 1]
[35, 27, a, 1]
[36, 29, 7, 1]
[36, 29, 8, 1]
[35, 2a, 6, 1]
[35, 29, 4, 1]
[35, 27, 4, 1]
[34, 25, 2, 1]
[36, 2a, 3, 1]
[3e, 2f, 6, 1]
[4d, 3c, 2, 1]
[5d, 50, 5, 1]
[77, 62, 9, 1]
[a1, 87, 53, 1]
[c9, ba, 9a, 1]
[ca, bb, 9c, 1]
[a5, 8e, 66, 1]
[7f, 5c, 28, 1]
[6a, 46, 1e, 1]
[68, 44, 1a, 1]
[5f, 3a, 18, 1]
[4f, 34, 12, 1]
[4d, 2c, f, 1]
[55, 30, 12, 1]
[55, 2f, 11, 1]
[59, 31, c, 1]
[59, 32, 9, 1]
[66, 33, d, 1]
[69, 3d, 11, 1]
[71, 3e, 13, 1]
[7d, 42, 12, 1]
[83, 4e, 17, 1]
[8f, 65, 1c, 1]
[9e, 71, 1b, 1]
[a4, 71, 1f, 1]
[a4, 71, 21, 1]
[9b, 69, 16, 1]
[91, 58, e, 1]
[90, 59, 12, 1]
[9d, 66, 1d, 1]
[af, 73, 1d, 1]
[c0, 86, 36, 1]
[ce, 9a, 4f, 1]
[d3, a2, 62, 1]
[db, ab, 77, 1]
[e5, bc, 9b, 1]
[ec, c9, b2, 1]
[f3, d2, bf, 1]
[f9, dd, d2, 1]
[fc, ea, e0, 1]
[ff, ec, e2, 1]
[fe, ef, e8, 1]
[fe, f1, e5, 1]
[ff, ef, e4, 1]
[ff, ee, e5, 1]
[ff, f0, e2, 1]
[ff, eb, e0, 1]
[fd, eb, de, 1]
[fc, ec, df, 1]
[fb, eb, dd, 1]
[f9, e6, db, 1]
[f9, e4, d0, 1]
[f8, e0, cc, 1]
[f6, d8, c7, 1]
[f2, da, ca, 1]
[f3, d6, c2, 1]
[f2, d5, b8, 1]
[f1, d6, bb, 1]
[f1, d8, bc, 1]
[ee, d7, b9, 1]
[e6, cf, ac, 1]
[d9, c3, 8d, 1]
[b9, a0, 58, 1]
[8f, 73, 21, 1]
[61, 50, 12, 1]
[3a, 31, a, 1]
[1f, 19, 5, 1]
[e, b, 1, 1]
[4, 4, 0, 1]
[1, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[2, 1, 0, 1]
[b, 9, 1, 1]
[1f, 19, 5, 1]
[41, 35, b, 1]
[71, 62, 2b, 1]
[ab, 94, 69, 1]
[cd, af, 8b, 1]
[db, ba, 9c, 1]
[dd, bc, a0, 1]
[de, bf, 9a, 1]
[e0, be, 99, 1]
[df, bc, 91, 1]
[dd, b7, 80, 1]
[dd, b6, 83, 1]
[df, b6, 86, 1]
[dc, b7, 89, 1]
[dd, b3, 85, 1]
[df, b9, 84, 1]
[de, ba, 8a, 1]
[de, b8, 8d, 1]
[dd, b8, 8f, 1]
[dc, b6, 8e, 1]
[dc, b9, 86, 1]
[dd, b8, 87, 1]
[dc, b8, 86, 1]
[db, b6, 90, 1]
[dc, b7, 8e, 1]
[dd, b8, 87, 1]
[dc, bb, 8c, 1]
[dd, bb, 8c, 1]
[de, b8, 85, 1]
[dd, b6, 8d, 1]
[dc, b5, 8a, 1]
[dc, b5, 81, 1]
[dc, b5, 7b, 1]
[d8, b1, 82, 1]
[da, b5, 81, 1]
[db, b6, 7d, 1]
